session_pitch_id,releaseHeight,horizontalBreak,spinClockTiltHour,date,szx,szy,selected,verticalBreak,_hour,videoPointerID,speed,no,pitchType,_minute,spinConfidence,spinEfficiency,releaseSide,trueSpin,_month,_milisecond,strike,_day,truespin,_year,pitch_id,spin,launchAngle,_second,spinAxis,releaseExtension,rifleSpin,gyroDegree,mode,_id,spinClockTiltMinute,horizontalAngle,memo,session_pitch_id
38,4.962714410430466,13.4,8,2019-10-15 00:00:00,6.3,5.2,False,-5.5,18,,66.4,13,4,50,0.73737365,64.1,-3.0761164744919705,1334,10,0,N,15,1334,2019,1571165440,2080,1.70047867,40,03h:42m,-,-1595.66492,-50.1,1,101637,18,1.6,,38
39,0,0,12,2019-10-15 00:00:00,0,0,False,0,18,,0,14,4,50,0,0,0,0,10,0,N,15,0,2019,1571165418,0,0,18,0,-,0,-,1,101637,0,-,,39
40,4.938829535066077,0,9,2019-10-15 00:00:00,22.6,25.7,False,0,18,,67.3,15,4,50,0,0,-3.2960570916241805,0,10,0,N,15,0,2019,1571165404,0,2.378648,4,0,-,-1967.1095,-90.0,1,101637,14,3.3,,40
41,5.1327781245997235,-16.5,1,2019-10-15 00:00:00,-9.7,26,False,10.2,18,,80.6,16,0,49,0.8724973,95.2,-3.24528445375173,1983,10,0,Y,15,1983,2019,1571165385,2083,-0.478385419,45,10h:06m,-,-637.4516,-17.8,1,101637,54,4.5,,41
42,5.411654338934376,-14.1,1,2019-10-15 00:00:00,2.3,17.7,False,10.7,18,,76.9,17,0,49,0.793121755,88.5,-3.09430643514954,1758,10,0,Y,15,1758,2019,1571165368,1986,-1.07370031,28,10h:20m,-,-924.345764,-27.7,1,101637,40,5.5,,42
43,5.130948170528701,-13.4,1,2019-10-15 00:00:00,-11.1,16.4,False,13.5,18,,80.3,18,0,49,0.8076086,96.3,-3.247318348111777,1917,10,0,N,15,1917,2019,1571165352,1992,-1.08239448,12,10h:32m,-,-539.5907,-15.7,1,101637,28,4.3,,43
44,5.263180880703447,-14.1,1,2019-10-15 00:00:00,18.7,31.2,False,10.3,18,,73.6,19,0,48,0.913605452,86.9,-2.77546129030794,1836,10,0,N,15,1836,2019,1571165337,2114,0.131423354,57,10h:16m,-,-1047.06335,-29.7,1,101637,44,6.0,,44
45,5.151898137752145,-14.3,1,2019-10-15 00:00:00,4.8,29.7,False,9.7,18,,79,20,0,48,0.8031815,88.7,-3.020520132543947,1811,10,0,Y,15,1811,2019,1571165320,2042,0.19672583,40,10h:14m,-,-944.247131,-27.5,1,101637,46,5.7,,45
46,4.96360732381765,-14.1,1,2019-10-02 00:00:00,8.9,30.5,False,10.2,14,,82,21,5,53,0.789387763,88.3,-2.56054232672667,1823,10,0,Y,2,1823,2019,1570028010,2064,-0.465557,30,10h:16m,-,-967.734131,-28.0,1,101637,44,5.5,,46
47,4.976916674231581,10.3,8,2019-10-02 00:00:00,7.2,11.6,False,-6.3,14,,69.1,22,4,53,0.835848451,52,-2.20190059389807,1156,10,0,N,2,1156,2019,1570027989,2225,0.9048578,9,03h:58m,-,-1900.7489,-58.7,1,101637,2,1.4,,47
48,4.885858832885823,13.1,8,2019-10-02 00:00:00,-3.3,20,False,-5,14,,70,23,4,52,0.9689898,61.8,-2.3355196885893603,1350,10,0,Y,2,1350,2019,1570027966,2184,1.80028486,46,03h:40m,-,-1716.57446,-51.8,1,101637,20,1.0,,48
49,4.941732717485187,0,7,2019-10-02 00:00:00,-27.5,26,False,0,14,,69.6,24,4,52,0,0,-2.3618668014903,0,10,0,N,2,0,2019,1570027938,0,2.6394186,18,0,-,-721.310669,-90.0,1,101637,22,-1.7,,49
50,4.86703019112492,7,7,2019-10-02 00:00:00,11.3,-6.5,False,-5.6,14,,71.4,25,4,51,0.993165731,39.7,-2.2536248328218353,867,10,0,N,2,867,2019,1570027899,2185,-0.6126279,39,04h:04m,-,-2005.98889,-66.6,1,101637,56,2.6,,50
51,4.999664213636236,10.4,8,2019-10-02 00:00:00,11.8,2.5,False,-5.8,14,,69.5,26,4,51,0.932492256,51.8,-2.2894094522988,1150,10,0,N,2,1150,2019,1570027873,2220,0.146401286,13,03h:50m,-,-1899.2179,-58.8,1,101637,10,2.3,,51
52,4.949952993088233,12.9,8,2019-10-02 00:00:00,1.2,17.3,False,-5.6,14,,68.3,27,4,50,0.847803235,62.4,-2.34395866498014,1339,10,0,Y,2,1339,2019,1570027855,2148,1.18219531,55,03h:44m,-,-1679.17554,-51.4,1,101637,16,1.5,,52
53,4.992792855358074,10.1,8,2019-10-02 00:00:00,-4.3,27.2,False,-5.4,14,,69,28,4,50,0.8929868,48.2,-2.4460620115920304,1027,10,0,Y,2,1027,2019,1570027801,2131,2.16783524,1,03h:54m,-,-1867.534,-61.2,1,101637,6,1.2,,53
54,5.249924319003507,-12.7,2,2019-10-02 00:00:00,-11.4,19.1,False,7.3,14,,72.5,29,6,49,0.9040943,97.5,-2.2710682449218402,1006,10,0,N,2,1006,2019,1570027773,1031,-0.208658591,33,10h:00m,-,-228.091583,-12.8,1,101637,0,2.2,,54
55,5.180068380577116,-9.1,2,2019-10-02 00:00:00,4,30.8,False,4.2,14,,71.6,30,6,49,0.902727842,75.9,-2.39121850757166,633,10,0,Y,2,633,2019,1570027751,834,1.221116,11,09h:54m,-,-543.0458,-40.6,1,101637,6,3.4,,55
56,5.263949778342411,-13.6,2,2019-10-02 00:00:00,4,11.2,False,4.6,14,,72.7,31,6,48,0.956109047,95.4,-2.367633966853397,976,10,0,N,2,976,2019,1570027733,1023,-0.3131327,53,09h:38m,-,-308.256561,-17.5,1,101637,22,4.1,,56
57,5.118103419853008,-12.2,2,2019-10-02 00:00:00,-6.6,15.6,False,6.8,14,,72.6,32,6,48,0.912376463,96,-2.38290223459314,950,10,0,Y,2,950,2019,1570027713,990,0.192642644,33,10h:00m,-,-276.693939,-16.2,1,101637,0,2.9,,57
58,5.0768991546985145,-16.5,1,2019-10-02 00:00:00,3.9,25.6,False,11.2,14,,79.9,33,0,48,0.965593636,97.2,-2.4332456204964337,2138,10,0,Y,2,2138,2019,1570027695,2200,-0.3456242,15,10h:10m,-,-521.5392,-13.7,1,101637,50,4.5,,58
